top1	top5	alpha	zeroing	FLOPS
0.8627	0.9952	1.00E-003	0	4.06E+007
0.8805	0.9961	0.0006309573	0	4.06E+007
0.9013	0.9977	0.0003981072	0	4.06E+007
0.9133	0.9977	0.0002511886	0	4.06E+007
0.9138	0.9963	0.0001584893	0	4.06E+007
0.911	0.9959	1.00E-004	0	4.06E+007
0.8627	0.9952	1.00E-003	1.00E-005	2.56E+007
0.8805	0.9961	0.0006309573	1.00E-005	3.09E+007
0.9013	0.9977	0.0003981072	1.00E-005	3.54E+007
0.9133	0.9977	0.0002511886	1.00E-005	3.84E+007
0.9138	0.9963	0.0001584893	1.00E-005	4.01E+007
0.911	0.9959	1.00E-004	1.00E-005	4.05E+007
0.8627	0.9952	1.00E-003	1.00E-004	2.32E+007
0.8805	0.9961	0.0006309573	1.00E-004	3.01E+007
0.9013	0.9977	0.0003981072	1.00E-004	3.51E+007
0.9133	0.9977	0.0002511886	1.00E-004	3.80E+007
0.9138	0.9963	0.0001584893	1.00E-004	3.96E+007
0.911	0.9959	1.00E-004	1.00E-004	4.01E+007
0.8629	0.9952	1.00E-003	1.00E-003	2.07E+007
0.8806	0.9961	0.0006309573	1.00E-003	2.89E+007
0.9012	0.9977	0.0003981072	1.00E-003	3.40E+007
0.9133	0.9977	0.0002511886	1.00E-003	3.72E+007
0.9138	0.9963	0.0001584893	1.00E-003	3.94E+007
0.911	0.9959	1.00E-004	1.00E-003	4.00E+007
0.8622	0.9954	1.00E-003	1.00E-002	1.63E+007
0.8807	0.9961	0.0006309573	1.00E-002	2.32E+007
0.9009	0.9977	0.0003981072	1.00E-002	3.02E+007
0.9134	0.9977	0.0002511886	1.00E-002	3.54E+007
0.9138	0.9963	0.0001584893	1.00E-002	3.92E+007
0.911	0.9959	1.00E-004	1.00E-002	3.99E+007
0.8398	0.9933	1.00E-003	1.00E-001	1.08E+007
0.8214	0.9886	0.0006309573	1.00E-001	1.56E+007
0.9001	0.9982	0.0003981072	1.00E-001	2.27E+007
0.9114	0.9975	0.0002511886	1.00E-001	2.97E+007
0.9128	0.9963	0.0001584893	1.00E-001	3.73E+007
0.9108	0.9959	1.00E-004	1.00E-001	3.96E+007
