1p_app_spars,5p_app_spars,Layer_num,alpha,tau_e-5,tau_e-4,tau_e-3,FLOPS_tau_e-5,FLOPS_tau_e-4,FLOPS_tau_e-3,Total FLOPS tau e-5,Total FLOPS e-4,Total FLOPS e-3 ,red_tau_e-5,red_tau_e-4,red_tau_e-3
64,64,1,0,64,64,64,118013952,118013952,118013952,696392704,696392704,696392704,0,0,0
64,64,2,0,64,64,64,115605504,115605504,115605504,,,,,,
64,64,3,0,64,64,64,115605504,115605504,115605504,,,,,,
128,128,4,0,128,128,128,57802752,57802752,57802752,,,,,,
128,128,5,0,128,128,128,115605504,115605504,115605504,,,,,,
256,256,6,0,256,256,256,57802752,57802752,57802752,,,,,,
256,256,7,0,256,256,256,115605504,115605504,115605504,,,,,,
61,56,1,0.0001,61,61,61,112482048,112482048,112482048,685441792,685441792,685441792,0.015725196339794,0.015725196339794,0.015725196339794
64,64,2,0.0001,64,64,64,110186496,110186496,110186496,,,,,,
64,64,3,0.0001,64,64,64,115605504,115605504,115605504,,,,,,
128,128,4,0.0001,128,128,128,57802752,57802752,57802752,,,,,,
128,128,5,0.0001,128,128,128,115605504,115605504,115605504,,,,,,
256,256,6,0.0001,256,256,256,57802752,57802752,57802752,,,,,,
256,256,7,0.0001,256,256,256,115605504,115605504,115605504,,,,,,
31,29,1,0.001,31,31,31,57163008,57163008,57163008,489582520,486693088,478120048,0.296973507637438,0.30112264932632,0.313433289502126
49,49,2,0.001,49,49,49,42872256,42872256,42872256,,,,,,
64,64,3,0.001,64,64,64,88510464,88510464,88510464,,,,,,
105,105,4,0.001,105,105,105,47416320,47416320,47416320,,,,,,
119,113,5,0.001,128,128,122,94832640,94832640,90387360,,,,,,
234,234,6,0.001,234,234,234,52835328,52835328,50358672,,,,,,
244,240,7,0.001,256,249,245,105670656,102781224,101130120,,,,,,
50,33,1,0.01,50,50,50,92198400,92198400,92198400,97738144,96397504,95677792,0.859650821384826,0.861575942070754,0.862609427912674
1,1,2,0.01,1,1,1,1411200,1411200,1411200,,,,,,
16,9,3,0.01,14,6,2,395136,169344,56448,,,,,,
2,2,4,0.01,2,2,2,197568,84672,28224,,,,,,
27,17,5,0.01,34,25,14,479808,352800,197568,,,,,,
16,16,6,0.01,16,16,16,959616,705600,395136,,,,,,
50,49,7,0.01,74,52,49,2088576,1467648,1382976,,,,,,
63,63,1,0.1,64,63,61,118013952,116169984,112482048,271642476,116540032,112624736,0.609929175823186,0.832651848115858,0.838274101160026
62,60,2,0.1,28,0,0,50577408,0,0,,,,,,
64,62,3,0.1,25,0,0,19756800,0,0,,,,,,
127,122,4,0.1,65,0,0,11466000,0,0,,,,,,
125,120,5,0.1,60,0,0,27518400,0,0,,,,,,
127,24,6,0.1,129,16,8,13653360,0,0,,,,,,
162,18,7,0.1,134,13,10,30492504,366912,141120,,,,,,
,,,,,,,,,,,,,,,
MODEL,RESNET8-Residual,,,,,,,,,,,,,,
